participant,three_d_questions_1,three_d_questions_2,three_d_questions_3,symmetry_questions_1,symmetry_questions_2,symmetry_questions_3,symmetry_questions_4,iso_persp_questions_1,iso_persp_questions_2,iso_persp_questions_3,iso_persp_questions_4,flat_pattern_questions_1,flat_pattern_questions_2,flat_pattern_questions_3,flat_pattern_questions_4,real_life_questions_1,real_life_questions_2,real_life_questions_3,real_life_questions_4,real_life_questions_5,real_life_questions_6,real_life_questions_7,real_life_questions_8,real_life_questions_9,real_life_questions_10,chooserandom_1,training_1,SE1_1,first_block_1,SE1_pos_1,SE1_pos_2,SE1_pos_3,SE1_pos_4,SE1_pos_5,SE1_pos_6,SE1_pos_7,SE1_pos_8,SE1_neg_1,SE1_neg_2,SE1_neg_3,SE1_neg_4,SE1_neg_5,SE1_neg_6,SE1_neg_7,SE1_neg_8,SE2_1,second_block_1,SE2_pos_1,SE2_pos_2,SE2_pos_3,SE2_pos_4,SE2_pos_5,SE2_pos_6,SE2_pos_7,SE2_pos_8,SE2_neg_1,SE2_neg_2,SE2_neg_3,SE2_neg_4,SE2_neg_5,SE2_neg_6,SE2_neg_7,SE2_neg_8,SE3_1,third_block_1,SE3_pos_1,SE3_pos_2,SE3_pos_3,SE3_pos_4,SE3_pos_5,SE3_pos_6,SE3_pos_7,SE3_pos_8,SE3_neg_1,SE3_neg_2,SE3_neg_3,SE3_neg_4,SE3_neg_5,SE3_neg_6,SE3_neg_7,SE3_neg_8,SE4_1,fourth_block_1,SE4_pos_1,SE4_pos_2,SE4_pos_3,SE4_pos_4,SE4_pos_5,SE4_pos_6,SE4_pos_7,SE4_pos_8,SE4_neg_1,SE4_neg_2,SE4_neg_3,SE4_neg_4,SE4_neg_5,SE4_neg_6,SE4_neg_7,SE4_neg_8,SE5_1,fifth_block_1,SE5_pos_1,SE5_pos_2,SE5_pos_3,SE5_pos_4,SE5_pos_5,SE5_pos_6,SE5_pos_7,SE5_pos_8,SE5_neg_1,SE5_neg_2,SE5_neg_3,SE5_neg_4,SE5_neg_5,SE5_neg_6,SE5_neg_7,SE5_neg_8,SE6_1,sixth_block_1,SE6_pos_1,SE6_pos_2,SE6_pos_3,SE6_pos_4,SE6_pos_5,SE6_pos_6,SE6_pos_7,SE6_pos_8,SE6_neg_1,SE6_neg_2,SE6_neg_3,SE6_neg_4,SE6_neg_5,SE6_neg_6,SE6_neg_7,SE6_neg_8,liking_1,importance_1,age_1,sex_1,educ_1,educ_field_1,educ_field_other,aboutwhat_1,t1,t2,t3,t4,score_1,time_1,time_out_1,score_2,time_2,time_out_2,score_3,time_3,time_out_3,score_4,time_4,time_out_4,score_5,time_5,time_out_5,score_6,time_6,time_out_6,TIME_start,TIME_end,TIME_total
s.47633f54-102c-4ebc-a5ad-12a4602c4784.txt,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,three_d_training.2024-01-18-1253.data.47633f54-102c-4ebc-a5ad-12a4602c4784.txt,4,task_3d_rotation.2024-01-18-1253.data.47633f54-102c-4ebc-a5ad-12a4602c4784.txt,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,1268,"","","","","","","","","","","","","","","","",2024-01-18-12-52,"",""
s.313eca3f-843b-4e68-9065-5f6370e0c339.txt,7,6,8,8,7,6,5,7,6,5,7,6,6,5,5,3,4,8,8,7,5,6,2,3,3,6,three_d_training.2023-12-15-1256.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,5,task_3d_rotation.2023-12-15-1258.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,"","","","","","","","",7,"","","","","","","",4,task_3d_rotation_2.2023-12-15-1300.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,"","","","","","","","",6,"","","","","","","",4,task_3d_rotation_3.2023-12-15-1301.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,"","","","","","","","","","","","","","","","",4,task_3d_rotation_4.2023-12-15-1302.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,"","","","","","","","","","","","","","","","",4,task_3d_rotation_5.2023-12-15-1303.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,8,"","","","","","","","","","","","","","","",4,task_3d_rotation_6.2023-12-15-1305.data.313eca3f-843b-4e68-9065-5f6370e0c339.txt,10,"","","","","","","","","","","","","","","",5,5,24,2,2,6,"",Ka indivīda mentālās rotācijas spējas ir vai nav stipri atkarīgas vai korelējošas ar izglītības jomu/līmeni.,"","","","",9,4764,"",8,4259,"",6,4489,"",8,4077,"",6,3435,"",8,4338,"",2023-12-15-12-45,2023-12-15-13-11,26
s.641be887-f098-4cb3-ad5c-836606c79bab.txt,5,5,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-01-09-12-48,"",""
s.f9f215eb-862d-47dc-b659-2167a4769ba3.txt,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,three_d_training.2023-12-08-0925.data.f9f215eb-862d-47dc-b659-2167a4769ba3.txt,5,task_3d_rotation.2023-12-08-0928.data.f9f215eb-862d-47dc-b659-2167a4769ba3.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,590,"","","","","","","","","","","","","","","","",2023-12-08-09-13,"",""
s.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,6,6,6,6,6,5,6,4,4,4,4,4,5,4,5,2,3,7,7,6,6,6,5,7,5,5,three_d_training.2023-12-16-1152.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,4,task_3d_rotation.2023-12-16-1155.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,8,"","","","","","","","","","","","","","","",4,task_3d_rotation_2.2023-12-16-1157.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,10,"","","","","","","","","","","","","","","",4,task_3d_rotation_3.2023-12-16-1158.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,"","","","","","","","",8,"","","","","","","",4,task_3d_rotation_4.2023-12-16-1159.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,"","","","","","","","",7,"","","","","","","",4,task_3d_rotation_5.2023-12-16-1201.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,"","","","","","","","","","","","","","","","",4,task_3d_rotation_6.2023-12-16-1202.data.42c31fb0-6618-4c21-9878-317cd2fca70f.txt,"","","","","","","","","","","","","","","","",5,5,33,1,4,5,Bakalaurs Inženierzinātnes Ceļi un Tilti + MBA Biznesa Administrācija,"Vai iegūtās izglītības jomai ir saistība ar mentālās rotēšanas prasmēm. Ja inženierzinātnes un matemātika background, tad labākas prasmes. ","","","","",6,4899,"",9,4599,"",10,4224,"",9,4377,"",7,4908,"",9,3887,"",2023-12-16-11-38,2023-12-16-12-08,30
s.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,3,3,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,5,3,2,3,3,2,3,5,three_d_training.2024-02-20-1331.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,2,task_3d_rotation.2024-02-20-1335.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,6,"","","","","","","","","","","","","","","",2,task_3d_rotation_2.2024-02-20-1336.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,7,"","","","","","","","","","","","","","","",2,task_3d_rotation_3.2024-02-20-1337.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,"","","","","","","","",3,"","","","","","","",2,task_3d_rotation_4.2024-02-20-1338.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,"","","","","","","","",1,"","","","","","","",2,task_3d_rotation_5.2024-02-20-1340.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,"","","","","","","","","","","","","","","","",2,task_3d_rotation_6.2024-02-20-1340.data.7267bae3-ee95-4bc0-a007-54468fcbcb99.txt,"","","","","","","","","","","","","","","","",1,4,39,1,4,4,"","","","","","",4,4911,"",5,3905,"",5,4481,"",3,3626,"",7,3855,"",5,3247,"",2024-02-20-13-08,"",""
s.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,3,2,4,4,4,3,4,5,5,4,4,3,4,3,2,7,2,3,3,4,3,6,3,4,7,2,three_d_training.2023-12-24-1511.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,3,task_3d_rotation.2023-12-24-1513.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,10,"","","","","","","","","","","","","","","",5,task_3d_rotation_2.2023-12-24-1514.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,6,"","","","","","","","","","","","","","","",4,task_3d_rotation_3.2023-12-24-1516.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,"","","","","","","","",6,"","","","","","","",3,task_3d_rotation_4.2023-12-24-1517.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,"","","","","","","","",4,"","","","","","","",2,task_3d_rotation_5.2023-12-24-1518.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,"","","","","","","","","","","","","","","","",4,task_3d_rotation_6.2023-12-24-1519.data.dadd5e4e-250c-4c79-9520-6ea08f8b591d.txt,"","","","","","","","","","","","","","","","",4,4,19,1,2,5,Psiholoģija,Laika ierobežojums ietekmē cilvēka mentālās rotācijas spējas,"","","","",10,2408,"",4,2594,"",8,2259,"",6,2149,"",8,3185,"",8,2720,"",2023-12-24-14-59,2023-12-24-15-25,26
s.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,2,2,5,6,3,3,2,2,2,5,6,2,2,2,4,2,8,8,8,4,4,2,2,8,2,6,three_d_training.2023-12-15-2015.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,5,task_3d_rotation.2023-12-15-2018.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,"","","","","","","","",4,"","","","","","","",6,task_3d_rotation_2.2023-12-15-2019.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,"","","","","","","","",7,"","","","","","","",5,task_3d_rotation_3.2023-12-15-2021.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,"","","","","","","","","","","","","","","","",5,task_3d_rotation_4.2023-12-15-2022.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,"","","","","","","","","","","","","","","","",5,task_3d_rotation_5.2023-12-15-2023.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,10,"","","","","","","","","","","","","","","",5,task_3d_rotation_6.2023-12-15-2024.data.c9783dd8-dd6b-4306-8255-11412ec9f0f6.txt,10,"","","","","","","","","","","","","","","",3,3,26,2,4,2,"",Kā feedback par veikumu maina ekspektācijas par savu veikumu.,"","","","",6,4918,"",9,4398,"",6,4412,"",10,3532,"",10,3132,"",8,3395,"",2023-12-15-20-03,2023-12-15-20-27,24
s.f145403f-219b-430b-aaa8-ddd4a0795049.txt,8,8,8,7,7,7,7,6,6,6,6,6,6,6,5,3,4,7,8,7,6,6,2,4,5,1,three_d_training.2023-12-19-1444.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,5,task_3d_rotation.2023-12-19-1446.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,"","","","","","","","","","","","","","","","",2,task_3d_rotation_2.2023-12-19-1447.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,"","","","","","","","","","","","","","","","",2,task_3d_rotation_3.2023-12-19-1447.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,10,"","","","","","","","","","","","","","","",3,task_3d_rotation_4.2023-12-19-1448.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,10,"","","","","","","","","","","","","","","",3,task_3d_rotation_5.2023-12-19-1449.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,"","","","","","","","",1,"","","","","","","",3,task_3d_rotation_6.2023-12-19-1450.data.f145403f-219b-430b-aaa8-ddd4a0795049.txt,"","","","","","","","",4,"","","","","","","",2,4,43,1,4,2,"","Kā es novērtēšu savas spējas, balstoties uz iepriekš iegūtiem rezultātiem. ","","","","",5,3694,"",3,1809,"",9,2056,"",9,1553,"",3,1380,"",6,2044,"",2023-12-19-14-36,2023-12-19-14-52,16
s.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,8,8,8,8,6,5,8,8,2,three_d_training.2023-12-08-2234.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,7,task_3d_rotation.2023-12-08-2235.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,10,"","","","","","","","","","","","","","","",7,task_3d_rotation_2.2023-12-08-2236.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,10,"","","","","","","","","","","","","","","",7,task_3d_rotation_3.2023-12-08-2237.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,"","","","","","","","",8,"","","","","","","",7,task_3d_rotation_4.2023-12-08-2238.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,"","","","","","","","",7,"","","","","","","",5,task_3d_rotation_5.2023-12-08-2239.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,"","","","","","","","","","","","","","","","",6,task_3d_rotation_6.2023-12-08-2240.data.ea57c3c9-8c84-4491-8b71-f4590435bb86.txt,"","","","","","","","","","","","","","","","",5,5,21,2,2,2,"",Vai cilvēku subjektīvie uzskati par viņu spēju mentāli rotēt objektus atbilst objektīvai patiesībai.,"","","","",10,2030,"",10,1925,"",10,1951,"",9,2070,"",9,2595,"",10,2172,"",2023-12-08-22-26,2023-12-08-22-44,18
s.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,8,5,7,5,6,5,6,7,7,6,7,5,5,5,6,5,6,8,8,6,6,6,7,5,5,6,three_d_training.2023-12-05-1437.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,4,task_3d_rotation.2023-12-05-1440.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,"","","","","","","","",5,"","","","","","","",2,task_3d_rotation_2.2023-12-05-1441.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,"","","","","","","","",5,"","","","","","","",2,task_3d_rotation_3.2023-12-05-1443.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,"","","","","","","","","","","","","","","","",2,task_3d_rotation_4.2023-12-05-1444.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,"","","","","","","","","","","","","","","","",3,task_3d_rotation_5.2023-12-05-1446.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,10,"","","","","","","","","","","","","","","",3,task_3d_rotation_6.2023-12-05-1447.data.65fb0475-12ad-4bf9-9e6a-e5b6b98142d8.txt,10,"","","","","","","","","","","","","","","",4,6,36,1,4,1,"","Vai treniņš kādā jomā ietekmē spēju rotēt priekšmetus. Vai vērojama korelācija starp zinātnes jomu, kurā cilvēks izglītojas un spēju mentāli rotēt  figūras.","","","","",7,4903,"",7,4869,"",6,4721,"",8,3544,"",8,3851,"",10,3486,"",2023-12-05-14-25,2023-12-05-14-52,27
